"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ"
"Stadt Suhl",5,134.515,24,110.567,110.567,0,"2004",8.29,130,172,26.903,3.292237805,4.86753445,NA,NA,0.782063953,NA,134.515,134.515,108.689,5.565,20.261
"Stadt Suhl",2,92.2874285714286,NA,NA,NA,NA,"2007",9.28,159,202,NA,NA,5.068904202,NA,NA,NA,NA,NA,NA,NA,0,0
"Stadt Suhl",3,117,NA,NA,NA,0,"2010",7.2,94,133,39,3.663561646,4.543294782,NA,NA,0.879699248,NA,117,117,108,0,10
"Stadt Suhl",4,190,NA,NA,NA,0,"2013",8.08,127,180,47.5,3.860729711,4.844187086,62.39316239,NA,1.055555556,-19.99050332,190,190,190,0,0
"Stadt Suhl",3,132,0,132,132,0,"2016",9.03,156,205,44,3.784189634,5.049856007,-30.52631579,NA,0.643902439,38.9987163,132,132,132,0,0
"Stadt Suhl",4,234,0,234,234,0,"2019",9.78,194,247,58.5,4.069026754,5.267858159,77.27272727,NA,0.947368421,-47.1291866,234,234,234,0,0
"Stadt Weimar",3,321,0,NA,NA,0,"2004",8.29,135,182,NA,NA,4.905274778,NA,NA,1.763736264,NA,NA,NA,NA,0,0
"Stadt Weimar",4,212,0,NA,NA,NA,"2007",9.28,138,191,NA,NA,4.927253685,-33.95638629,NA,1.109947644,37.06838903,NA,NA,NA,0,0
"Stadt Weimar",5,344,NA,NA,NA,0,"2010",7.2,171,238,68.8,4.231203745,5.141663557,62.26415094,NA,1.445378151,-30.22039004,344,344,308,36,0
"Stadt Weimar",7,417,NA,NA,NA,0,"2013",8.08,181,254,59.57142857,4.087176073,5.198497031,21.22093023,NA,1.641732283,-13.58496612,417,417,389,28,0
"Stadt Weimar",9,955.4005,NA,NA,NA,NA,"2016",9.03,215,281,NA,NA,5.370638028,129.1128297,NA,3.400001779,-107.0984297,421,421,396,25,0
"Stadt Weimar",7,273.5,NA,NA,NA,NA,"2019",9.78,226,286,NA,NA,5.420534999,-71.37326179,NA,0.956293706,71.87372924,NA,NA,NA,0,0
"Unstrut0Hainich-Kreis",17,246.831,61.67,185.161,185.161,0,"2004",8.29,269,383,14.51947059,2.675490548,5.59471138,NA,NA,0.644467363,NA,246.831,237.831,176.382,41.695,19.754
"Unstrut0Hainich-Kreis",20,897,619,278,278,0,"2007",9.28,341,462,44.85,3.803323589,5.831882477,263.4065413,NA,1.941558442,-201.2655959,897,886,848,27,11
