"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ","summer_TMK","summer_TXK","hot_days25","hot_days30","wa_3","cooling","log_gva_2010","log_gva_std","log_cooling"
"Stadt Suhl",4,234,0,234,234,0,"2019",9.78,194,247,58.5,4.069026754,5.267858159,77.27272727,NA,0.947368421,-47.1291866,234,234,234,0,0,17.8525747243018,23.807889860416,37,7,"234",14,4.543294782,0.724563377,2.63905732961526
"Stadt Weimar",5,344,NA,NA,NA,0,"2010",7.2,171,238,68.8,4.231203745,5.141663557,62.26415094,NA,1.445378151,-30.22039004,344,344,308,36,0,17.9370328093354,23.5412906812085,35,9,"344",2,5.141663557,0,0.693147180559945
"Stadt Weimar",7,417,NA,NA,NA,0,"2013",8.08,181,254,59.57142857,4.087176073,5.198497031,21.22093023,NA,1.641732283,-13.58496612,417,417,389,28,0,17.8802711636272,23.8105768415491,35,13,"417",4,5.141663557,0.0568334739999994,1.38629436111989
"Stadt Weimar",9,955.4005,NA,NA,NA,NA,"2016",9.03,215,281,NA,NA,5.370638028,129.1128297,NA,3.400001779,-107.0984297,421,421,396,25,0,18.3361054295024,24.1448389077199,48,12,"421",12,5.141663557,0.228974471,2.484906649788
"Wartburgkreis",18,12841,12520,321,321,0,"2010",7.2,988,1136,713.3888889,6.570026698,6.895682698,-20.82742463,NA,11.30369718,23.68488553,12841,12241,11259,150,832,17.2441453632535,22.9452413889187,29,9,"12241",9052,6.895682698,0,9.11074100675343
"Wartburgkreis",21,12127,11775,352,352,0,"2013",8.08,1055,1224,577.4761905,6.358667213,6.961296046,-5.560314617,NA,9.907679739,12.35009592,12126,11553,10571,258,724,17.1625434009205,23.0095299042152,30,8,"11553",8528,6.895682698,0.0656133480000003,9.05111014640562
"Wartburgkreis",20,11084,10715,369,369,0,"2016",9.03,1123,1308,554.2,6.317525632,7.023758955,-8.600643193,NA,8.474006116,14.47032666,11083,10523,9434,353,735,17.3163772708131,22.9705421098129,40,9,"10523",7303,6.895682698,0.128076257,8.89604050162011
"Wartburgkreis",22,12448,11980,468,434,34,"2019",9.78,1263,1462,565.8181818,6.338272793,7.141245122,12.30602671,Inf,8.514363885,-0.476253714,11820,11276,9142,1397,737,18.564676511092,24.983114492446,44,13,"11276",8365,6.895682698,0.245562424,9.03181161342092
"Weimarer Land",19,812,283,529,483,46,"2010",7.2,344,483,42.73684211,3.755061361,5.840641657,-9.476031215,-34.28571429,1.68115942,7.414408738,812,809,697,9,103,17.8489562532647,23.5477061592847,36,9,"809",181,5.840641657,0,5.19849703126583
"Weimarer Land",17,792,221,571,520,51,"2013",8.08,397,568,46.58823529,3.841348048,5.983936281,-2.463054187,10.86956522,1.394366197,17.05925206,789,789,771,0,18,17.8099383682448,23.8097251711945,35,13,"789",149,5.840641657,0.143294624,5.00394630594546
"Weimarer Land",19,996,372,624,579,45,"2016",9.03,436,625,52.42105263,3.959308278,6.077642243,25.75757576,-11.76470588,1.5936,-14.28848485,994,994,951,21,21,18.2619142410998,24.1445072530728,48,12,"994",139,5.840641657,0.237000586,4.93447393313069
"Weimarer Land",18,689,191,498,494,4,"2019",9.78,417,634,38.27777778,3.644869513,6.033086222,-30.82329317,-91.11111111,1.086750789,31.8052969,689,689,681,3,5,19.4418958249957,26.3013932215644,61,19,"689",150,5.840641657,0.192444565,5.01063529409626
